video_num;class_name;bbox_coverage;img_path
1;airspeed_indicator;full_tight;cropped_dials_students_abc\1_1_airspeed_indicator.png
1;dashboard;full_tight;cropped_dials_students_abc\1_1_dashboard.png
1;altimeter;full_tight;cropped_dials_students_abc\1_1_altimeter.png
1;attitude_indicator;full_tight;cropped_dials_students_abc\1_1_attitude_indicator.png
1;dashboard;full_tight;cropped_dials_students_abc\2_1_dashboard.png
1;airspeed_indicator;full_tight;cropped_dials_students_abc\2_1_airspeed_indicator.png
1;altimeter;none;cropped_dials_students_abc\2_1_altimeter.png
1;attitude_indicator;none;cropped_dials_students_abc\2_1_attitude_indicator.png
1;dashboard;full_not_tight;cropped_dials_students_abc\3_1_dashboard.png
1;airspeed_indicator;none;cropped_dials_students_abc\3_1_airspeed_indicator.png
1;altimeter;none;cropped_dials_students_abc\3_1_altimeter.png
1;attitude_indicator;none;cropped_dials_students_abc\3_1_attitude_indicator.png
1;dashboard;full_not_tight;cropped_dials_students_abc\4_1_dashboard.png
1;airspeed_indicator;none;cropped_dials_students_abc\4_1_airspeed_indicator.png
1;altimeter;none;cropped_dials_students_abc\4_1_altimeter.png
1;attitude_indicator;none;cropped_dials_students_abc\4_1_attitude_indicator.png
1;dashboard;full_tight;cropped_dials_students_abc\5_1_dashboard.png
1;airspeed_indicator;full_tight;cropped_dials_students_abc\5_1_airspeed_indicator.png
1;altimeter;full_tight;cropped_dials_students_abc\5_1_altimeter.png
1;attitude_indicator;full_tight;cropped_dials_students_abc\5_1_attitude_indicator.png
1;heading_indicator;full_tight;cropped_dials_students_abc\5_1_heading_indicator.png
1;dashboard;full_tight;cropped_dials_students_abc\6_1_dashboard.png
1;airspeed_indicator;partial;cropped_dials_students_abc\6_1_airspeed_indicator.png
1;altimeter;none;cropped_dials_students_abc\6_1_altimeter.png
1;attitude_indicator;none;cropped_dials_students_abc\6_1_attitude_indicator.png
1;heading_indicator;full_not_tight;cropped_dials_students_abc\6_1_heading_indicator.png
1;dashboard;full_tight;cropped_dials_students_abc\7_1_dashboard.png
1;airspeed_indicator;none;cropped_dials_students_abc\7_1_airspeed_indicator.png
1;altimeter;none;cropped_dials_students_abc\7_1_altimeter.png
1;attitude_indicator;none;cropped_dials_students_abc\7_1_attitude_indicator.png
1;heading_indicator;none;cropped_dials_students_abc\7_1_heading_indicator.png
1;dashboard;full_tight;cropped_dials_students_abc\8_1_dashboard.png
1;airspeed_indicator;full_not_tight;cropped_dials_students_abc\8_1_airspeed_indicator.png
1;altimeter;full_tight;cropped_dials_students_abc\8_1_altimeter.png
1;attitude_indicator;full_tight;cropped_dials_students_abc\8_1_attitude_indicator.png
1;heading_indicator;full_not_tight;cropped_dials_students_abc\8_1_heading_indicator.png
1;dashboard;full_tight;cropped_dials_students_abc\9_1_dashboard.png
1;airspeed_indicator;full_not_tight;cropped_dials_students_abc\9_1_airspeed_indicator.png
1;altimeter;full_tight;cropped_dials_students_abc\9_1_altimeter.png
1;attitude_indicator;full_tight;cropped_dials_students_abc\9_1_attitude_indicator.png
1;heading_indicator;full_not_tight;cropped_dials_students_abc\9_1_heading_indicator.png
1;dashboard;full_tight;cropped_dials_students_abc\10_1_dashboard.png
1;airspeed_indicator;full_not_tight;cropped_dials_students_abc\10_1_airspeed_indicator.png
1;altimeter;full_tight;cropped_dials_students_abc\10_1_altimeter.png
1;attitude_indicator;full_tight;cropped_dials_students_abc\10_1_attitude_indicator.png
1;heading_indicator;full_not_tight;cropped_dials_students_abc\10_1_heading_indicator.png
1;dashboard;full_tight;cropped_dials_students_abc\11_1_dashboard.png
1;airspeed_indicator;full_not_tight;cropped_dials_students_abc\11_1_airspeed_indicator.png
1;altimeter;partial;cropped_dials_students_abc\11_1_altimeter.png
1;attitude_indicator;full_not_tight;cropped_dials_students_abc\11_1_attitude_indicator.png
1;heading_indicator;full_not_tight;cropped_dials_students_abc\11_1_heading_indicator.png
1;dashboard;full_tight;cropped_dials_students_abc\12_1_dashboard.png
1;airspeed_indicator;full_not_tight;cropped_dials_students_abc\12_1_airspeed_indicator.png
1;altimeter;partial;cropped_dials_students_abc\12_1_altimeter.png
1;attitude_indicator;partial;cropped_dials_students_abc\12_1_attitude_indicator.png
1;heading_indicator;partial;cropped_dials_students_abc\12_1_heading_indicator.png
1;dashboard;full_tight;cropped_dials_students_abc\13_1_dashboard.png
1;airspeed_indicator;partial;cropped_dials_students_abc\13_1_airspeed_indicator.png
1;altimeter;partial;cropped_dials_students_abc\13_1_altimeter.png
1;attitude_indicator;partial;cropped_dials_students_abc\13_1_attitude_indicator.png
1;heading_indicator;partial;cropped_dials_students_abc\13_1_heading_indicator.png
1;dashboard;full_tight;cropped_dials_students_abc\14_1_dashboard.png
1;airspeed_indicator;partial;cropped_dials_students_abc\14_1_airspeed_indicator.png
1;altimeter;partial;cropped_dials_students_abc\14_1_altimeter.png
1;attitude_indicator;partial;cropped_dials_students_abc\14_1_attitude_indicator.png
1;heading_indicator;partial;cropped_dials_students_abc\14_1_heading_indicator.png
1;dashboard;full_tight;cropped_dials_students_abc\15_1_dashboard.png
1;airspeed_indicator;partial;cropped_dials_students_abc\15_1_airspeed_indicator.png
1;altimeter;partial;cropped_dials_students_abc\15_1_altimeter.png
1;attitude_indicator;partial;cropped_dials_students_abc\15_1_attitude_indicator.png
1;heading_indicator;partial;cropped_dials_students_abc\15_1_heading_indicator.png
1;dashboard;full_tight;cropped_dials_students_abc\16_1_dashboard.png
1;airspeed_indicator;partial;cropped_dials_students_abc\16_1_airspeed_indicator.png
1;altimeter;partial;cropped_dials_students_abc\16_1_altimeter.png
1;attitude_indicator;partial;cropped_dials_students_abc\16_1_attitude_indicator.png
1;heading_indicator;partial;cropped_dials_students_abc\16_1_heading_indicator.png
1;dashboard;full_tight;cropped_dials_students_abc\17_1_dashboard.png
1;airspeed_indicator;partial;cropped_dials_students_abc\17_1_airspeed_indicator.png
1;altimeter;partial;cropped_dials_students_abc\17_1_altimeter.png
1;attitude_indicator;partial;cropped_dials_students_abc\17_1_attitude_indicator.png
1;heading_indicator;partial;cropped_dials_students_abc\17_1_heading_indicator.png
1;dashboard;full_tight;cropped_dials_students_abc\18_1_dashboard.png
1;airspeed_indicator;partial;cropped_dials_students_abc\18_1_airspeed_indicator.png
1;altimeter;partial;cropped_dials_students_abc\18_1_altimeter.png
1;attitude_indicator;partial;cropped_dials_students_abc\18_1_attitude_indicator.png
1;heading_indicator;partial;cropped_dials_students_abc\18_1_heading_indicator.png
1;dashboard;full_tight;cropped_dials_students_abc\19_1_dashboard.png
